"('Noise', 'Noise Lower than IQR')","(('nan',), 1.0)"
"('NGHBR: West Queens', 'Noise Within Lower IQR', 'Population Higher than IQR')","(('VC Within Lower IQR',), 0.891238018090995)"
"('Major Within Lower IQR', 'Misd Lower than IQR', 'Nonmajor Lower than IQR')","(('VC Within Lower IQR',), 0.7701293283270755)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'NGHBR: Southwest Queens')","(('VC Within Higher IQR',), 1.0)"
"('Loud Music/Party', 'NGHBR: Southwest Queens')","(('VC Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('102', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise Lower than IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Poverty Level Lower than Median')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise Lower than IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('VC Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('VC Within Higher IQR',), 0.9058450360570406)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise - Residential', 'Residential Building/House')","(('VC Within Higher IQR',), 0.8658730158730159)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 0.8328040898137513)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 0.8217173661917597)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Residential Building/House')","(('VC Within Higher IQR',), 0.8005185716092584)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('VC Within Higher IQR',), 0.7692246314655602)"
"('Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('VC Within Higher IQR',), 0.7032908619384353)"
"('114', 'NGHBR: Northwest Queens')","(('VC Higher than IQR',), 1.0)"
"('114',)","(('VC Higher than IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Noise - Residential')","(('Residential Building/House', 'VC Within Higher IQR'), 0.9982962641719844)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise - Residential')","(('Residential Building/House', 'VC Within Higher IQR'), 0.8635721151127947)"
"('2014', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('2015', 'Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9999663809043536)"
"('2015', 'Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 0.9999647477702964)"
"('Noise - Residential', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9986053484885464)"
"('Noise - Residential', 'Noise Within Lower IQR', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.9985031807409255)"
"('Loud Music/Party', 'Misd Within Lower IQR', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9984931865828093)"
"('Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 0.9984884619260354)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9983963185050899)"
"('Major Within Higher IQR', 'Noise - Residential', 'Noise Within Lower IQR', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.9983711697037565)"
"('Major Within Higher IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9983394221188974)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR')","(('Residential Building/House',), 0.9983136593591906)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9982962641719844)"
"('NGHBR: Southwest Queens', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9982962641719844)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.9982774976284388)"
"('Major Within Higher IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9982300884955753)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9982027905760873)"
"('Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9981231231231231)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9981065170241333)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9981000837251239)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9980757746665782)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9980647431386348)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise - Residential')","(('Residential Building/House',), 0.9980647431386348)"
"('Noise - Residential', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9980313092979127)"
"('Major Within Higher IQR', 'Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9979987929227153)"
"('Loud Music/Party', 'Misd Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 0.997998367088941)"
"('Noise - Residential', 'Noise Lower than IQR', 'VC Higher than IQR')","(('Residential Building/House',), 0.9979860139860139)"
"('Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9978628263299796)"
"('Major Within Higher IQR', 'Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9978453187477987)"
"('Major Within Higher IQR', 'Noise - Residential', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9978442215765302)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9978193773483629)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9978005058836468)"
"('Major Within Higher IQR', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9977867712153787)"
"('Major Within Higher IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.997784367863108)"
"('Loud Music/Party', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9977632935502473)"
"('Major Within Higher IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR')","(('Residential Building/House',), 0.9977315444941344)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9977137991927346)"
"('Loud Music/Party', 'Major Higher than IQR', 'Noise - Residential')","(('Residential Building/House',), 0.997686598335636)"
"('Noise - Residential', 'Population Lower than IQR', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9976828561846398)"
"('Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9976828561846398)"
"('Major Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9976732531500573)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9976590358494161)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9976451918400778)"
"('Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.9976112691888854)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 0.997594729319901)"
"('Major Higher than IQR', 'Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9975802507272119)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Within Lower IQR')","(('Residential Building/House',), 0.9975464136746545)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR')","(('Residential Building/House',), 0.9975294939042948)"
"('NGHBR: West Queens', 'Noise - Residential', 'Noise Within Lower IQR')","(('Residential Building/House',), 0.9975194674704848)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9975000657877424)"
"('Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 0.9974905999673043)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9974902913903786)"
"('Loud Music/Party', 'Noise - Residential', 'Population Within Lower IQR')","(('Residential Building/House',), 0.9974699029666083)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9974655158317663)"
"('Major Within Higher IQR', 'Noise - Residential', 'Noise Within Lower IQR')","(('Residential Building/House',), 0.997439216569113)"
"('Major Within Higher IQR', 'Noise - Residential', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9974336504757135)"
"('Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9974285200503507)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9973153928259534)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9973147153598282)"
"('Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9973006194114387)"
"('Noise - Residential',)","(('Residential Building/House',), 0.997281220556016)"
"('Noise - Residential', 'Noise Lower than IQR', 'Population Within Lower IQR')","(('Residential Building/House',), 0.997275898062578)"
"('Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9972689828080229)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9972300331556637)"
"('Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9971973338367484)"
"('Noise - Residential', 'Nonmajor Within Higher IQR', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9971958512111896)"
"('Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 0.9971618789952521)"
"('Noise - Residential', 'Population Within Lower IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9970920571618478)"
"('Noise - Residential', 'Noise Within Lower IQR', 'Population Higher than IQR')","(('Residential Building/House',), 0.9970797590801241)"
"('Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9970690831515524)"
"('Loud Music/Party', 'Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9970613930585339)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.9969678397471049)"
"('Loud Music/Party', 'Noise - Residential', 'VC Within Lower IQR')","(('Residential Building/House',), 0.9969357495881384)"
"('Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9969270898468905)"
"('Misd Within Higher IQR', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.996848157384317)"
"('Noise - Residential', 'Noise Within Lower IQR', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9968173680770651)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 0.9966251140164184)"
"('Banging/Pounding', 'Noise - Residential')","(('Residential Building/House',), 0.9965576592082617)"
"('Noise - Residential', 'VC Within Lower IQR')","(('Residential Building/House',), 0.9963829932437044)"
"('Major Higher than IQR', 'Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 0.9963584124014433)"
"('Noise - Residential', 'Poverty Level Lower than Median', 'VC Within Lower IQR')","(('Residential Building/House',), 0.9960489924930858)"
"('Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('Residential Building/House',), 0.9960078466462471)"
"('Misd Lower than IQR', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9958038562907476)"
"('Misd Within Higher IQR', 'Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9957313965341489)"
"('Misd Within Higher IQR', 'Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 0.9956662685548541)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Residential Building/House',), 0.8160143217511596)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise Lower than IQR')","(('Residential Building/House',), 0.8138336849117354)"
